Date,Open Index,Closing Index,Change in Index,Change Percentage
02/01/2023,10550.44,10571.78,0,0
30/12/2022,10550.44,10571.78,21.34,0.201858154
29/12/2022,10542.36,10550.44,8.08,0.076584484
28/12/2022,10536.9,10542.36,5.46,0.05179106
27/12/2022,10531.9,10536.9,5,0.047452287
26/12/2022,10527.31,10531.9,4.59,0.04358188
23/12/2022,10513.67,10527.31,18.24,0.173263635
21/12/2022,10503.88,10509.07,5.19,0.049385911
20/12/2022,10499.2,10503.88,4.68,0.044554964
19/12/2022,10494.29,10499.2,4.91,0.046765468
16/12/2022,10480.37,10494.29,13.92,0.132643561
15/12/2022,10475.45,10480.37,4.92,0.046944907
14/12/2022,10471.09,10475.45,4.36,0.041621124
13/12/2022,10466.66,10471.09,4.43,0.042306961
12/12/2022,10462.7,10466.66,3.96,0.037834419
09/12/2022,10448.84,10462.7,13.86,0.132470586
08/12/2022,10444.29,10448.84,4.55,0.043545504
07/12/2022,10439.88,10444.29,9.16,0.087703425
05/12/2022,10420.85,10435.13,14.28,0.136845444
02/12/2022,10415.1,10420.85,5.75,0.055177841
01/12/2022,10409.76,10415.1,5.34,0.051271711
30/11/2022,10405.05,10409.76,4.71,0.045246
29/11/2022,10400.1,10405.05,4.95,0.047573053
28/11/2022,10404.19,10400.1,8.73,0.083941501
24/11/2022,10387.19,10391.37,4.18,0.040225687
23/11/2022,10382.74,10387.19,4.45,0.04284123
22/11/2022,10378.4,10382.74,4.34,0.041800141
21/11/2022,10373.76,10378.4,4.64,0.04470824
18/11/2022,10360.94,10373.76,12.82,0.123581035
17/11/2022,10357.27,10360.94,3.67,0.035421497
16/11/2022,10353.07,10357.27,4.2,0.040551226
15/11/2022,10348.88,10353.07,4.19,0.040471087
14/11/2022,10344.68,10348.88,4.2,0.040584102
11/11/2022,10332.11,10344.68,12.57,0.121511734
10/11/2022,10327.8,10332.11,4.31,0.041714616
08/11/2022,10318.95,10327.8,8.85,0.085691047
07/11/2022,10314.19,10318.95,4.76,0.046128724
04/11/2022,10300.95,10314.19,13.24,0.128366842
03/11/2022,10296.74,10300.95,4.21,0.040870017
02/11/2022,10292.28,10296.74,4.46,0.04331468
01/11/2022,10287.97,10292.28,4.31,0.041876047
31/10/2022,10283.89,10287.97,4.08,0.039657969
28/10/2022,10271.97,10283.89,11.92,0.115909447
27/10/2022,10267.55,10271.97,4.42,0.043029721
26/10/2022,10263.12,10267.55,4.43,0.043145638
25/10/2022,10257.83,10263.12,5.29,0.05154378
24/10/2022,10253.08,10257.83,4.75,0.04630609
21/10/2022,10240.34,10253.08,12.74,0.124255346
20/10/2022,10236.54,10240.34,3.8,0.037108143
19/10/2022,10232.3,10236.54,4.24,0.041420246
18/10/2022,10228.22,10232.3,4.08,0.039873733
17/10/2022,10224,10228.22,4.22,0.041258401
14/10/2022,10211.42,10224,12.58,0.123043818
13/10/2022,10207.3,10211.42,4.12,0.040346984
12/10/2022,10202.98,10207.3,4.32,0.042322651
11/10/2022,10198.49,10202.98,4.49,0.044006751
10/10/2022,10194.1,10198.49,4.39,0.043045588
07/10/2022,10181.49,10194.1,12.61,0.123699002
06/10/2022,10178.99,10181.49,2.5,0.024554363
05/10/2022,10174.76,10178.99,4.23,0.041556186
04/10/2022,10170.76,10174.76,4,0.039312967
03/10/2022,10167.17,10170.76,3.59,0.035297264
02/10/2022,10154.74,10167.17,12.43,0.122256242
29/09/2022,10150.36,10154.74,4.38,0.043132567
28/09/2022,10145.79,10150.36,4.57,0.045023034
27/09/2022,10141.28,10145.79,4.51,0.044451935
26/09/2022,10136.46,10141.28,4.82,0.047528517
23/09/2022,10122.84,10136.46,13.62,0.134366436
22/09/2022,10118.09,10122.84,4.75,0.046923591
21/09/2022,10113.96,10118.09,4.13,0.04081798
20/09/2022,10109.6,10113.96,4.36,0.043108733
19/09/2022,10096.67,10109.6,12.93,0.127898235
16/09/2022,10092.21,10096.67,4.46,0.04417298
15/09/2022,10087.93,10092.21,4.28,0.042408947
14/09/2022,10083.85,10087.93,4.08,0.040444373
13/09/2022,10079.96,10083.85,3.89,0.038576536
12/09/2022,10067.29,10079.96,12.67,0.125694943
09/09/2022,10063.28,10067.29,4.01,0.039831971
08/09/2022,10059.52,10063.28,3.76,0.037363563
07/09/2022,10055.22,10059.52,4.3,0.042745578
06/09/2022,10051.1,10055.22,4.12,0.040973743
05/09/2022,10046.91,10051.1,4.19,0.04168698
04/09/2022,10042.72,10046.91,4.19,0.041704365
03/09/2022,10038.12,10042.72,4.6,0.045804324
02/09/2022,10033.52,10038.12,4.6,0.045825314
01/09/2022,10029.2,10033.52,4.32,0.043055677
31/08/2022,10024.99,10029.2,4.21,0.041977426
30/08/2022,10020.73,10024.99,4.26,0.042493808
29/08/2022,10016.59,10020.73,4.14,0.041314355
28/08/2022,10012.38,10016.59,4.21,0.042030272
27/08/2022,10008.18,10012.38,4.2,0.041948068
26/08/2022,10003.96,10008.18,4.22,0.042165509
25/08/2022,10000,10003.96,3.96,0.039584325
24/08/2022,10000,10000,,
